Temperature,RH,Ws,Wind_Direction,Rain,Rain_3D_Sum,Rain_7D_Sum,Temp_3D_Max,RH_3D_Mean,Dryness_Index,VPD,Surface_Temp,Soil_Temp,Soil_Moisture,Dew_Point,Pressure,Evapotranspiration,is_day,month_sin,month_cos,hour_sin,hour_cos,NDVI,Fuel_Type_Conifer,Resin_Ignition_Potential,Nearest_Fire_Dist_KM,Wind_Fire_Vector_Alignment,is_fire
48.24,8.34,7.68,245.8,0.0,0.0,0.0,50.58,8.34,5.787,10.3559,54.05,48.24,0.01,26.39,1013.9,2.71,1,-0.866,-0.5,0.5,0.866,0.016,0.0,0.0,100.0,180.0,0
27.22,86.0,15.77,185.8,0.0,0.0,0.0,27.87,86.0,0.317,0.5056,32.57,27.22,0.01,13.05,1018.7,7.72,1,0.866,0.5,-0.2588,0.9659,0.001,0.0,0.0,100.0,180.0,0
33.74,45.3,20.6,338.3,0.07,0.99,4.57,34.54,47.26,0.745,2.8669,37.83,37.4,0.104,20.64,1017.7,3.63,1,-0.866,-0.5,-1.0,-0.0,0.474,0.126,0.0435,12.4,21.6,0
18.96,47.26,7.41,2.1,1.63,3.64,12.97,17.34,48.16,0.401,1.1559,18.18,19.3,0.407,12.07,1013.3,2.1,1,0.5,0.866,0.866,0.5,0.194,0.031,0.0024,72.88,129.3,0
36.31,10.61,23.26,340.0,0.0,0.0,0.0,37.62,10.61,3.421,5.4009,48.31,36.31,0.01,4.19,1014.5,2.73,1,0.5,-0.866,0.2588,-0.9659,0.004,0.0,0.0,100.0,180.0,0
44.31,14.1,44.24,243.5,0.0,0.13,0.04,45.05,16.0,3.143,7.9455,54.21,48.46,0.011,22.71,1000.3,7.58,1,-0.5,-0.866,-0.5,-0.866,0.484,0.705,1.0019,9.48,19.3,1
6.02,68.61,1.52,286.0,0.15,12.26,16.08,3.2,78.05,0.088,0.294,5.42,6.93,0.318,2.94,1022.5,0.77,0,0.5,-0.866,0.7071,-0.7071,0.529,0.166,0.0076,86.78,96.4,0
11.59,74.23,1.51,151.2,9.66,1.09,14.39,10.67,74.84,0.156,0.3516,12.88,10.64,0.207,8.51,1012.8,0.02,1,0.5,0.866,-0.5,0.866,0.431,0.167,0.0111,103.15,109.5,0
13.8,65.24,6.53,58.6,0.59,0.8,12.7,13.57,68.22,0.212,0.5485,14.48,15.56,0.438,7.9,1016.1,2.89,0,-0.866,0.5,-1.0,-0.0,0.518,0.297,0.0321,98.9,90.9,0
28.62,37.63,16.87,92.0,0.4,1.14,1.52,27.72,42.66,0.761,2.444,29.83,31.25,0.117,15.54,1013.7,4.08,1,-1.0,-0.0,-0.7071,-0.7071,0.45,0.175,0.0583,27.73,26.0,0
8.39,91.17,8.66,349.2,1.4,2.28,30.22,9.14,92.81,0.092,0.0973,6.45,9.7,0.295,6.82,1016.5,2.21,0,0.866,-0.5,0.5,0.866,0.292,0.215,0.0057,81.27,117.9,0
34.93,18.13,41.84,315.6,0.0,0.21,0.06,37.08,22.83,1.927,4.5868,45.47,44.43,0.036,12.61,1002.9,8.48,1,-0.5,-0.866,-0.9659,-0.2588,0.576,0.937,0.9853,3.28,0.8,1
33.59,42.81,18.97,71.3,0.1,1.0,0.11,35.13,49.84,0.785,2.9741,37.12,34.14,0.095,17.76,1008.9,4.41,1,-0.5,-0.866,-0.2588,-0.9659,0.241,0.283,0.0523,26.77,52.6,0
20.06,67.48,2.88,320.2,0.58,0.09,62.8,19.44,74.89,0.297,0.763,20.34,18.73,0.247,12.19,1016.0,0.35,0,0.5,-0.866,0.9659,0.2588,0.461,0.18,0.0243,136.87,98.8,0
41.02,30.95,25.92,354.4,0.0,0.0,0.0,43.72,30.95,1.325,5.3753,54.75,41.02,0.01,10.75,1018.8,10.57,1,-0.866,0.5,0.2588,0.9659,0.017,0.0,0.0,100.0,180.0,0
15.01,90.62,9.16,261.6,1.79,5.19,0.49,13.9,96.77,0.166,0.1601,13.61,16.64,0.41,10.75,1015.1,1.77,1,-0.866,0.5,0.7071,-0.7071,0.351,0.094,0.0054,59.45,107.9,0
34.65,18.9,32.79,303.1,0.0,0.1,0.23,37.35,21.43,1.833,4.4725,40.04,40.72,0.032,14.1,996.3,10.26,1,-0.866,-0.5,-0.9659,-0.2588,0.637,0.821,0.9105,6.2,11.8,1
43.53,37.8,17.89,350.6,0.0,0.0,0.0,43.56,37.8,1.152,5.5253,49.6,43.53,0.01,9.32,1016.9,14.47,1,0.0,-1.0,0.5,0.866,0.035,0.0,0.0,100.0,180.0,0
19.51,78.69,6.35,338.4,6.64,6.85,46.8,20.08,82.23,0.248,0.4832,19.9,20.99,0.353,12.28,1016.9,2.2,0,-0.866,0.5,-0.7071,-0.7071,0.157,0.074,0.0029,114.24,139.7,0
12.93,83.28,4.29,146.8,0.31,0.06,2.32,12.69,85.62,0.155,0.2494,13.15,14.34,0.199,7.11,1017.6,1.0,1,-0.0,1.0,-0.7071,0.7071,0.154,0.224,0.0053,74.38,166.7,0
28.61,35.45,16.02,60.9,0.92,0.43,7.04,28.29,42.66,0.807,2.5285,32.7,29.67,0.166,11.9,1016.6,4.4,1,-0.5,-0.866,-0.866,-0.5,0.477,0.439,0.1642,21.41,56.1,0
35.75,31.42,5.9,356.7,0.0,0.0,0.0,37.57,31.42,1.138,4.0186,48.38,35.75,0.01,1.8,1009.3,14.22,0,0.866,0.5,-0.9659,0.2588,0.031,0.0,0.0,100.0,180.0,0
33.34,30.99,12.83,53.6,0.34,0.66,14.41,33.61,36.92,1.076,3.5384,34.41,36.29,0.115,20.28,1010.5,4.69,0,-0.866,-0.5,0.7071,-0.7071,0.444,0.295,0.1366,27.71,25.8,0
36.04,60.77,20.43,341.9,0.0,0.0,0.0,38.02,60.77,0.593,2.3355,46.16,36.04,0.0,6.22,1015.1,7.92,1,0.5,0.866,-0.866,-0.5,0.016,0.0,0.0,100.0,180.0,0
18.51,47.3,5.58,166.9,0.64,13.37,14.89,16.3,48.79,0.391,1.1232,16.63,16.65,0.437,14.53,1017.8,2.8,0,0.5,-0.866,-0.5,0.866,0.19,0.076,0.0055,71.27,166.1,0
36.28,14.94,44.9,0.6,0.0,0.42,0.28,39.12,19.16,2.428,5.1314,42.83,43.99,0.068,13.5,1001.4,11.42,1,-0.5,-0.866,-0.9659,-0.2588,0.447,0.478,0.4857,4.32,2.9,1
6.48,85.72,5.59,26.6,0.83,11.82,0.14,3.61,91.86,0.076,0.138,5.99,5.05,0.365,1.33,1024.3,1.08,0,-0.0,1.0,0.5,0.866,0.135,0.125,0.0013,79.34,128.7,0
20.96,67.11,3.43,72.1,3.06,0.62,1.93,19.93,74.7,0.312,0.8159,20.73,21.42,0.325,18.68,1017.3,2.94,0,-0.866,0.5,0.9659,0.2588,0.54,0.197,0.0328,128.56,116.9,0
21.8,84.95,6.79,94.0,4.16,13.27,6.86,19.38,83.31,0.257,0.3931,19.93,20.87,0.433,18.92,1022.8,0.47,0,1.0,0.0,0.2588,-0.9659,0.173,0.228,0.01,97.57,90.3,0
50.86,45.53,8.33,164.6,0.0,0.0,0.0,53.74,45.53,1.117,7.0127,55.71,50.86,0.0,36.63,1015.1,12.46,1,-1.0,-0.0,0.9659,-0.2588,0.013,0.0,0.0,100.0,180.0,0
18.92,89.38,2.44,279.7,2.14,5.11,0.75,18.2,94.15,0.212,0.2323,19.54,20.62,0.231,13.76,1017.2,1.44,1,0.866,-0.5,-0.5,-0.866,0.202,0.049,0.0021,104.91,177.3,0
29.52,35.74,20.2,2.7,0.34,3.72,1.37,30.88,42.82,0.826,2.6517,33.54,32.01,0.099,13.48,1010.3,5.59,1,-1.0,-0.0,0.2588,-0.9659,0.423,0.436,0.1481,17.01,21.6,1
38.03,32.45,3.31,83.6,0.0,0.0,0.0,38.08,32.45,1.172,4.4822,44.36,38.03,0.0,22.91,1006.9,6.61,0,0.866,0.5,-0.866,0.5,0.018,0.0,0.0,100.0,180.0,0
33.72,38.13,11.69,255.6,0.19,0.89,8.34,35.11,41.84,0.884,3.2406,35.13,33.85,0.165,23.61,1011.2,3.09,0,0.0,-1.0,0.0,-1.0,0.227,0.48,0.094,29.82,53.5,1
30.59,34.04,12.82,252.7,0.17,2.51,1.84,30.08,41.82,0.899,2.8943,32.32,34.18,0.138,15.59,1016.0,5.92,1,0.0,-1.0,0.0,-1.0,0.268,0.119,0.0279,30.43,28.7,0
45.99,40.87,22.4,25.8,0.0,0.0,0.0,48.16,40.87,1.125,5.96,50.56,45.99,0.0,27.9,1010.9,3.15,0,-0.5,-0.866,0.866,-0.5,0.04,0.0,0.0,100.0,180.0,0
40.8,8.93,28.57,7.9,0.0,0.18,0.25,43.26,10.61,4.568,7.0068,51.39,47.65,0.036,12.2,996.3,8.74,1,-0.5,-0.866,-0.866,-0.5,0.803,0.938,3.095,8.61,18.6,1
40.0,15.1,29.91,159.6,0.0,0.09,0.18,40.76,19.25,2.649,6.2617,45.55,45.96,0.029,12.22,1002.5,6.13,1,-0.5,-0.866,-0.9659,-0.2588,0.429,0.748,0.7972,8.16,22.1,1
44.85,12.52,44.51,151.9,0.0,0.05,0.01,45.28,14.69,3.583,8.3173,51.28,49.85,0.079,17.92,1001.4,11.15,1,-0.5,-0.866,-0.2588,-0.9659,0.694,0.683,1.5732,1.07,20.2,1
30.65,46.8,19.1,168.0,1.91,0.49,2.32,31.78,52.09,0.655,2.343,33.64,33.75,0.101,13.88,1016.2,3.3,0,-1.0,-0.0,0.0,-1.0,0.25,0.429,0.0688,18.17,32.9,1
44.37,18.47,37.66,187.7,0.0,0.04,0.21,45.65,22.18,2.402,7.5616,55.19,49.02,0.048,20.54,1005.3,10.02,1,-0.5,-0.866,0.0,-1.0,0.743,0.385,0.6524,0.93,8.0,1
23.57,94.45,2.12,197.7,0.72,27.53,31.9,22.46,102.52,0.25,0.1614,21.79,22.37,0.377,21.9,1020.7,2.96,1,0.866,-0.5,0.9659,0.2588,0.577,0.051,0.0072,96.06,160.9,0
31.47,42.36,17.5,206.0,0.24,2.27,1.32,31.53,49.28,0.743,2.66,34.63,32.33,0.112,16.14,1017.6,3.66,1,-0.5,-0.866,0.7071,-0.7071,0.325,0.123,0.029,24.13,49.9,1
44.39,17.18,24.46,99.1,0.0,0.0,0.09,47.38,21.32,2.584,7.6921,57.33,54.06,0.059,19.63,995.4,8.33,1,-0.5,-0.866,-0.7071,-0.7071,0.355,0.734,0.6364,7.45,23.6,1
34.06,12.82,21.02,271.8,0.0,0.06,0.19,35.08,17.81,2.656,4.653,40.52,39.63,0.043,11.55,995.8,8.46,1,-0.866,-0.5,0.0,-1.0,0.483,0.61,0.7258,1.68,3.5,1
33.75,36.44,17.24,294.1,0.21,0.78,6.4,35.64,37.26,0.926,3.3333,36.93,36.41,0.166,18.04,1016.5,3.28,1,-0.866,-0.5,0.7071,-0.7071,0.444,0.275,0.1102,32.13,40.5,0
36.01,24.9,24.42,331.4,0.0,0.0,0.0,36.3,24.9,1.446,4.4635,49.87,36.01,0.0,7.56,1012.1,8.49,0,-0.866,-0.5,-0.2588,0.9659,0.022,0.0,0.0,100.0,180.0,0
31.33,28.13,25.65,123.9,0.0,0.0,0.0,33.63,28.13,1.114,3.2909,33.12,31.33,0.0,15.98,1011.0,13.15,0,-0.0,1.0,0.5,-0.866,0.007,0.0,0.0,100.0,180.0,0
36.7,19.71,21.36,344.7,0.0,0.0,0.0,38.54,19.71,1.862,4.9553,46.4,36.7,0.01,3.71,1009.7,14.85,1,-1.0,-0.0,0.9659,0.2588,0.017,0.0,0.0,100.0,180.0,0
33.49,47.48,19.14,342.3,0.5,3.53,1.68,35.35,52.57,0.705,2.7157,35.9,37.08,0.139,19.87,1011.6,4.27,0,-0.5,-0.866,-0.9659,-0.2588,0.222,0.486,0.0746,24.18,23.0,0
28.64,37.71,12.78,140.0,0.15,2.04,2.3,28.17,41.08,0.759,2.4434,31.63,29.98,0.135,12.44,1013.6,3.59,1,-0.866,-0.5,0.5,-0.866,0.228,0.198,0.0334,34.07,50.3,0
24.17,93.31,8.02,36.9,0.52,5.0,16.87,23.3,101.98,0.259,0.2016,25.58,25.6,0.417,21.03,1013.9,0.73,0,0.866,-0.5,0.5,0.866,0.216,0.275,0.0153,72.65,143.1,0
